4.3,7.5,88,0.9,24,32,13,17,1024.3,0.8,14.16417333
3.1,6.8,85,1.1,28,41,15,22,1024.2,0.8,16.90667667
4.2,7.3,89,0.8,22,26,12,14,1024.3,0.8,14.38850833
4.1,7.4,88,0.9,24,32,13,17,1024.2,1,12.64783833
4.9,7.4,88,0.9,20,32,11,17,1023.8,1,8.678005
4.4,6.7,84,1.2,22,30,12,16,1023.8,1,8.324001667
4.5,7.4,85,1.1,24,35,13,19,1023.7,1,10.881675
5.1,7.2,85,1.1,20,32,11,17,1023.9,1,10.56817333
5.9,7,87,1,13,20,7,11,1024.1,1,1.102166667
4.9,6.8,85,1.1,19,22,10,12,1024.2,1,0.871666667
5,6.4,81,1.4,19,26,10,14,1024.3,1,2.3165
4.9,6.5,83,1.3,19,24,10,13,1024.6,1,1.479666667
5.8,6.6,83,1.3,15,24,8,13,1025,1,2.584503333
5.8,6.8,81,1.4,17,20,9,11,1025.3,1,1.333333333
6.3,7.6,89,0.8,13,22,7,12,1025.6,1,-0.400833333
7.6,7.9,88,0.9,9,17,5,9,1025.9,1,2.708666667
6.9,7.6,85,1.1,13,20,7,11,1026.2,1,2.237336667
7.3,7.9,81,1.5,17,20,9,11,1026.4,1,2.42984
7,7.8,79,1.7,20,28,11,15,1026.7,1,5.009671667
8.2,7.8,76,2,17,20,9,11,1026.8,0,3.196835
8.7,7,68,2.7,17,26,9,14,1026.8,0,2.778175
8.4,7.4,70,2.5,19,26,10,14,1026.8,0,5.246171667
8.2,7.4,70,2.5,20,26,11,14,1026.7,0,8.445175
8.4,6.3,64,3.2,20,26,11,14,1026.8,0,9.068506667
8.1,7,67,2.9,22,28,12,15,1026.6,0,8.990006667
9,7.2,66,3,20,28,11,15,1026.4,0,7.823506667
9,7.8,69,2.7,20,24,11,13,1026.3,0,7.249005
9.4,7.8,67,2.9,20,28,11,15,1026.3,0,6.962341667
8.9,7.6,69,2.7,19,24,10,13,1026.3,0,7.567673333
9,7.1,68,2.8,17,24,9,13,1026.5,0,6.218338333
8.6,7.1,69,2.6,17,20,9,11,1026.6,0,4.693338333
8.5,7.2,70,2.5,17,20,9,11,1026.8,0,4.014671667
7.7,7.2,72,2.3,19,22,10,12,1027,0,3.10034
6.8,7.5,79,1.7,19,26,10,14,1027.2,0,1.209168333
7.1,7,78,1.7,15,17,8,9,1027.5,0,1.332335
